count_type,month,day,count,year,julian
fishWheel,8,1,51,1991,213
fishWheel,8,2,50,1991,214
fishWheel,8,3,35,1991,215
fishWheel,8,4,55,1991,216
fishWheel,8,5,86,1991,217
fishWheel,8,6,156,1991,218
fishWheel,8,7,62,1991,219
fishWheel,8,8,26,1991,220
fishWheel,8,9,33,1991,221
fishWheel,8,10,28,1991,222
fishWheel,8,11,18,1991,223
fishWheel,8,12,10,1991,224
fishWheel,8,13,8,1991,225
fishWheel,8,14,9,1991,226
fishWheel,8,15,5,1991,227
fishWheel,8,16,2,1991,228
fishWheel,8,17,5,1991,229
fishWheel,8,18,2,1991,230
fishWheel,8,19,4,1991,231
fishWheel,8,20,5,1991,232
fishWheel,8,21,0,1991,233
fishWheel,8,22,0,1991,234
fishWheel,8,23,0,1991,235
fishWheel,8,24,0,1991,236
fishWheel,8,25,0,1991,237
fishWheel,8,26,0,1991,238
fishWheel,8,27,1,1991,239
fishWheel,8,28,0,1991,240
fishWheel,8,29,0,1991,241
fishWheel,8,30,0,1991,242
fishWheel,8,31,0,1991,243
fishWheel,9,1,0,1991,244
fishWheel,9,2,0,1991,245
fishWheel,9,3,0,1991,246
fishWheel,9,4,0,1991,247
fishWheel,9,5,0,1991,248
fishWheel,9,6,0,1991,249
fishWheel,9,7,0,1991,250
fishWheel,9,8,0,1991,251
fishWheel,9,9,0,1991,252
fishWheel,9,10,0,1991,253
fishWheel,9,11,0,1991,254
fishWheel,9,12,0,1991,255
fishWheel,9,13,0,1991,256
fishWheel,9,14,0,1991,257
fishWheel,9,15,0,1991,258
fishWheel,9,16,0,1991,259
fishWheel,9,17,0,1991,260
fishWheel,9,18,0,1991,261
fishWheel,9,19,0,1991,262
fishWheel,9,20,0,1991,263
fishWheel,9,21,0,1991,264
fishWheel,9,22,0,1991,265
fishWheel,9,23,0,1991,266
fishWheel,9,24,0,1991,267
fishWheel,9,25,0,1991,268
fishWheel,9,26,0,1991,269
fishWheel,9,27,0,1991,270
fishWheel,9,28,0,1991,271
fishWheel,9,29,0,1991,272
fishWheel,9,30,0,1991,273
fishWheel,10,1,0,1991,274
fishWheel,10,2,0,1991,275
fishWheel,10,3,0,1991,276
fishWheel,10,4,0,1991,277
fishWheel,10,5,0,1991,278
fishWheel,10,6,0,1991,279
fishWheel,10,7,0,1991,280
fishWheel,10,8,0,1991,281
fishWheel,10,9,0,1991,282
fishWheel,10,10,0,1991,283
fishWheel,6,23,0,1992,175
fishWheel,6,24,0,1992,176
fishWheel,6,25,0,1992,177
fishWheel,6,26,0,1992,178
fishWheel,6,27,0,1992,179
fishWheel,6,28,0,1992,180
fishWheel,6,29,0,1992,181
fishWheel,6,30,0,1992,182
fishWheel,7,1,0,1992,183
fishWheel,7,2,0,1992,184
fishWheel,7,3,0,1992,185
fishWheel,7,4,0,1992,186
fishWheel,7,5,0,1992,187
fishWheel,7,6,0,1992,188
fishWheel,7,7,0,1992,189
fishWheel,7,8,0,1992,190
fishWheel,7,9,0,1992,191
fishWheel,7,10,0,1992,192
fishWheel,7,11,0,1992,193
fishWheel,7,12,0,1992,194
fishWheel,7,13,0,1992,195
fishWheel,7,14,2,1992,196
fishWheel,7,15,4,1992,197
fishWheel,7,16,18,1992,198
fishWheel,7,17,30,1992,199
fishWheel,7,18,40,1992,200
fishWheel,7,19,47,1992,201
fishWheel,7,20,93,1992,202
fishWheel,7,21,108,1992,203
fishWheel,7,22,166,1992,204
fishWheel,7,23,127,1992,205
fishWheel,7,24,126,1992,206
fishWheel,7,25,83,1992,207
fishWheel,7,26,91,1992,208
fishWheel,7,27,112,1992,209
fishWheel,7,28,101,1992,210
fishWheel,7,29,86,1992,211
fishWheel,7,30,70,1992,212
fishWheel,7,31,63,1992,213
fishWheel,8,1,66,1992,214
fishWheel,8,2,58,1992,215
fishWheel,8,3,39,1992,216
fishWheel,8,4,11,1992,217
fishWheel,8,5,15,1992,218
fishWheel,8,6,28,1992,219
fishWheel,8,7,12,1992,220
